QF_Type	start	end	date_assessment	gender_KI	comm_q1	comm_q2	comm_q3	comm_q4	comm_q5	comm_q6	comm_q6_other	comm_q7	comm_q8	comm_q9	comm_q9_other	comm_q10	comm_q11	comm_q12	comm_q13	comm_q14	comm_q15	comm_q16	comm_q16_other	comm_q17	comm_q18	comm_q19	comm_q20	comm_q21	comm_q22	comm_q23	comm_q24	comm_q25	comm_q26	comm_q27	comm_q28	comm_q29	comm_q30	comm_q31	comm_q32	comm_q33	comm_q34	comm_q35	comm_q36	comm_q37	comm_q38	comm_q39	comm_q40	comm_q41	comm_q42	comm_q43	comm_q44	comm_q45	food_market_active	nfi_market_active	mixed_market_active	active_markets	food_market_limited	nfi_market_limited	mixed_market_limited	limited_markets	food_market_closed	nfi_market_closed	mixed_market_closed	closed_markets	comm_q49	comm_q50	comm_q50_other	comm_q51	comm_q51_other	comm_q52	comm_q53	comm_q53_other	comm_q54	comm_q54_other	comm_q55	comm_q56	comm_q57	comm_q58	comm_q58_other	comm_q59	comm_q60	comm_q61	comm_q61_other	comm_q62	comm_q62_other	comm_q63	comm_q63_other	comm_q64	comm_q65	comm_q65_other	comm_q66	comm_q66_other	comm_q67	comm_q68	comm_q69	comm_q70	comm_q70_other	comm_q71	comm_q72	comm_q73	comm_q73_other	comm_q74	comm_q74_other	comm_q75	comm_q75_other	comm_q76	comm_q76_other	current_oblast	current_raion	current_village	gps_work	_gpslocation_latitude	_gpslocation_longitude	location_manual	_id
Community	2017-05-18T09:57:08.619+03	2017-05-18T10:20:11.861+03	2017-05-18	female	No	Бахмут	No	Бахмут	No	Distance to services is too big		0	Бахмут	"Health care services are too expensive;"		elderly male elderly female	0-250	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available		Not available	35.0	20.0	31.0	17.5	4.0	80.0	60.0	80.0	80.0	90.0	22.0	10.0	10.0	999.0	6.0	999.0	14.0	999.0	999.0	15.0	14.0	35.0	999.0	9.0	999.0	9.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Бахмут	Private bus service Private transport (own car, borrowed car)		Distance Other (specify)	Переполненный автобус		local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare) Support from family\friends		Limited availability	Fully available	Fully available	Cost		Нет	Никитовка	Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs) Other (specify)	Нет банков	No concerns		No			Landmines\ERW are not present		Yes, sufficient		No	In-home social care Registration servives		No, required	Weekly	water trucking		No		Waste is buried or burned Waste is left in the street\public area		Cannot empty septic tank		Donetska	Bakhmutskyi	Semyhiria	Yes	48.46987265068123	38.13533281066692		3724347
Community	2017-05-18T10:24:21.174+03	2017-05-18T10:39:31.639+03	2017-05-18	female	No	Не знаю	No	Не знаю	Don't know	Distance to services is too big		0	Новолуганка	"Health care services are too expensive; other (specify)"	Переполненный автобус	elderly male elderly female	0-250	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems		Don't know	32.0	999.0	32.0	18.0	999.0	999.0	999.0	999.0	999.0	999.0	30.0	10.0	10.0	8.5	999.0	999.0	999.0	999.0	999.0	999.0	999.0	24.0	999.0	10.0	999.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Новолуганка, Бахмут	Private bus service		Distance high prices			local (in this rayon) from the oblast		Stable employment (salaried) Allowances (Social security\welfare) Support from family\friends		Limited availability	Fully available	Fully available	Cost		Не продают	Светлодарск	Distance Problems transporting produce		Distance to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		No concerns		No			Landmines\ERW are not present		Yes, sufficient		No	In-home social care Registration servives		No, required	Weekly	water trucking		No		Waste is left in the street\public area		Cannot empty septic tank		Donetska	Bakhmutskyi	Semyhiria	Yes	48.469891560362306	38.13506022974908		3724349
Community	2017-05-18T11:23:24.067+03	2017-05-18T11:50:44.617+03	2017-05-18	female	No	Зайцево	No	Бахмут	Yes	Distance to services is too big		0	Бахмут	"Health care services are too expensive;"		elderly male elderly female IDPs	0-250	no	no	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems Quality is too bad		Limited availability	999.0	12.0	999.0	999.0	999.0	999.0	35.0	999.0	60.0	999.0	999.0	9.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	12.0	19.0	999.0	999.0	999.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Бахмут	Private bus service		Other (specify)	Переполненный автобус		local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Cost		Сдают перекупщикам, едут в Бахмут, Светлодарск, Новолуганское	Горловка, Никитовка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		No concerns Community tension No concerns		No			"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	Yes, insufficient	All available		Yes, sufficient	Daily	water trucking		Yes		Waste is buried or burned Waste is left in the street\public area		no problems		Donetska	Bakhmutskyi	Kodema	Yes	48.473823082746016	38.07956008014314		3724350
Community	2017-05-18T08:45:30.707+03	2017-05-18T14:57:34.571+03	2017-05-18	female	Yes, functioning		No	Бахмут	Yes	"Route to services is unsafe (mines, checkpoints, shelling); other (specify)"	Отсутствие кадров. Материально- техническая база в школе	3	Бахмут	"No transportation\long distance to facility; Old age; other (specify)"	Отсутствие специалистов	elderly male elderly female pregnant women	251-500	Yes, infrequently	no	Yes, weekly	no	Fuel too expensive other (specify)	Не выделили топливо по льготной цене	Fully available	35.0	15.0	35.0	18.0	999.0	110.0	70.0	100.0	85.0	120.0	30.0	10.0	10.0	18.0	9.0	13.5	12.0	7.0	13.0	13.0	11.0	30.0	37.0	999.0	400.0	15.0	17.0	40.0	0	0	1	1	0	0	1	1	0	0	0	0	Б ахмут. Светлодарск	Private bus service Public bus service		Distance high prices need to cross checkpoints			local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost Poor quality		Не выращивают из- за того,что нет доступа в полям	Горловка. Бахмут	Problems transporting produce Other (specify)	Не рентабельно	Distance to FSP Cost of travelling to FSP Lack of FSPs (incl. ATMs)		Mines and ERW Presence of armed groups		Yes	Domestic violence		"Landmines\ERW are present;"		Yes, insufficient	Some of the known areas	Yes, insufficient	In-home social care		Yes, insufficient	Daily	piped drinking water		Yes		Public (paid) waste collection		Damage to infrastructure water shortages		Donetska	Bakhmutskyi	Luhanske	Yes	48.428650459790724	38.17315673816588		3724639
Community	2017-05-18T10:10:05.219+03:00	2017-05-19T17:35:18.000+03:00	2017-05-18	female	No	В Новолугагском	No	Бахмут	No	Distance to services is too big other (specify)	Нет транспорта	0	ФЕЛЬДШЕРСКИЙ  пункт	other (specify)	Отсутствие   скорой помощт	all equally	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel not available Delivery problems		Not available	35.0	15.0	40.0	18.0	5.0	110.0	80.0	100.0	75.0	90.0	25.0	9.0	8.0	15.0	8.0	6.0	6.0	6.0	8.0	17.0	8.0	28.0	50.0	10.0	250.0	5.0	20.0	29.0	0	0	0	0	0	0	0	0	0	0	0	0	В магазин	Private transport (own car, borrowed car)		Distance Transport is never available Transport is too expensive		26.0	other (specify)	Рынка нет	Unstable employment (daily) Allowances (Social security\welfare) High risk\illegal work		Limited availability	Fully available	Fully available	Cost Availability		Рынок в Новолуганском	В Новолуганском	Distance Problems transporting produce Security concerns		Distance to FSP Cost of travelling to FSP Lack of FSPs (incl. ATMs)		Community tension Mines and ERW		No			"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	No	In-home social care		No, required	Daily	water trucking		No		Waste is buried or burned		No water to flush Cannot empty septic tank		Donetska	Bakhmutskyi	Semyhiria	Yes	48.470197	38.135573		3724713
Community	2017-05-18T11:15:04.456+03	2017-05-18T11:37:13.848+03	2017-05-18	male	No	Кодеиа	No	Бахмут	No	Distance to services is too big		0	Бахмут	"No difficulties of access reported;"		elderly male elderly female	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel not available Delivery problems		Limited availability	35.0	15.0	40.0	18.0	5.0	110.0	75.0	100.0	70.0	100.0	25.0	9.0	8.0	15.0	8.0	6.0	6.0	6.0	8.0	18.0	8.0	28.0	80.0	9.0	250.0	6.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Бахмут	Public bus service		Distance high prices			local (in this rayon)		Unstable employment (daily) Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Availability		Не продают	Не продавади	Other (specify)	Не продают	Distance to FSP		Community tension Mines and ERW		No			"Landmines\ERW are present;"		Yes, insufficient	Yes, all known areas	Yes, insufficient	All available		No, not required	Weekly	water trucking		Yes		Waste is buried or burned		No water to flush other (specify)	Нет центральной канализации	Donetska	Bakhmutskyi	Kodema	Yes	48.4732099586287	38.07983831862964		3724717
Community	2017-05-18T11:47:09.390+03	2017-05-18T12:04:50.980+03	2017-05-18	female	Yes, functioning		No	Бахмут	Yes	"Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);"		0	Фотоконтакты пункт	other (specify)	Недостаточно мндперсонала	all equally	don’t know	Yes, infrequently	no	The community has no water supply	No centralized heating in the community	Delivery problems		Limited availability	999.0	999.0	999.0	17.0	3.0	999.0	999.0	90.0	79.0	999.0	999.0	9.0	8.0	7.0	10.0	999.0	999.0	999.0	999.0	18.0	10.0	20.0	999.0	999.0	999.0	999.0	20.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Магазин ездим в Бахмут	Public bus service		Distance Transport is never available Transport is too expensive		20.0	local (in this rayon) from the oblast from other regions of Ukraine		Unstable employment (daily) Farming		Fully available	Fully available	Fully available	Cost Poor quality		Не продают	В Новолуганское	Other (specify)	Не продают	Distance to FSP Cost of travelling to FSP		Community tension Mines and ERW other (specify)	Обстрелы	No			"Landmines\ERW are present;"		Yes, insufficient	Yes, all known areas	Yes, insufficient	All available		No, required	Daily	water trucking		Yes		Waste is buried or burned		Cannot empty septic tank		Donetska	Bakhmutskyi	Kodema	Yes	48.47566086942874	38.07860524602829		3724721
Community	2017-05-18T10:09:06.050+03	2017-05-18T12:34:32.237+03	2017-05-18	female	No	Новолуганка	No	Баахмут	No	other (specify)	Отсутствует школа	0	Новолуганка Бахмут	"No health facilities available in the area; Security concerns around travel to health facility; High cost of transportation to health facility;"		all equally	0-250	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available		Not available	30.0	17.0	35.0	20.0	4.0	999.0	55.0	65.0	70.0	999.0	20.0	9.0	9.0	10.0	999.0	999.0	999.0	999.0	999.0	29.0	15.0	35.0	999.0	10.0	999.0	6.0	20.0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	Бахмут	Public bus service		Distance Security concerns in travelling Other (specify)	Качество дорог		local (in this rayon) from other regions of Ukraine		Unstable employment (daily) Farming		Fully available	Fully available	Fully available	Other (specify)	Рынок в бахмуте	Не продают	Не продовали	Other (specify)	Не продают	Distance to FSP Lack of FSPs (incl. ATMs) Other (specify)	УслугиВ бахмуте	Mines and ERW other (specify)	Ночные обстрелы	No			Not sure\don't know		No		No	In-home social care Registration servives		No, required	Daily	water trucking		other (specify)	Покупаем детям воду	Waste is buried or burned Waste is left in the street\public area		water shortages other (specify)	Недостаточный подвоз воды	Donetska	Bakhmutskyi	Semyhiria	Yes	48.4658757082987	38.1575267635748		3724728
Community	2017-05-18T10:32:44.152+03	2017-05-18T12:37:27.688+03	2017-05-18	female	No	Новолуганка	No	Новолуганка	No	other (specify)	Школа в новолуганке	0	Бахмут	"High cost of transportation to health facility; No transportation\long distance to facility; other (specify)"	Надо ехать в Бахмут	elderly male elderly female female children male children	0-250	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems		Not available	30.0	20.0	40.0	20.0	5.0	999.0	60.0	70.0	80.0	999.0	30.0	9.0	9.0	12.0	8.0	4.0	15.0	9.0	999.0	20.0	15.0	30.0	999.0	11.0	999.0	7.0	20.0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	Бахмут новолуганка	Public bus service		Distance high prices poor product quality			local (in this rayon)		Farming Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Other (specify)	Бахмут	Новолуганка	Новолуганка светлодарск	Distance Problems transporting produce		Lack of FSPs (incl. ATMs)		Mines and ERW other (specify)	Обстрелы	No			Not sure\don't know		Yes, insufficient		No	In-home social care Registration servives		No, required	Weekly	water trucking		No		Waste is buried or burned Waste is disposed of at designated waste management site Waste is left in the street\public area		other (specify)	Нет централизованого водоснабжения	Donetska	Bakhmutskyi	Semyhiria	Yes	48.46563621887493	38.15766426439048		3724732
Community	2017-05-18T11:46:41.213+03	2017-05-18T12:08:52.654+03	2017-05-18	male	No	Зайцево	No	Бахмут	Yes	Distance to services is too big		0	Бахмут зайцово	"No transportation\long distance to facility; other (specify)"	Отсутствие оборудования	disabled male disabled female elderly male elderly female	0-250	Yes, infrequently	no	The community has no water supply	No centralized heating in the community	No problems		Fully available	27.0	13.0	30.0	18.0	4.0	999.0	32.0	999.0	58.0	999.0	17.0	8.0	9.0	22.0	9.0	9.5	999.0	999.0	8.0	11.0	10.0	19.0	999.0	11.0	999.0	5.5	20.0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	Бахмут	Public bus service		Distance Transport is never available Other (specify)	Качество дорог		local (in this rayon)		Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Бахмут	Бахмут	Distance Problems transporting produce		Cost of travelling to FSP Queues Lack of FSPs (incl. ATMs)		Community tension Mines and ERW other (specify)	Обстрелы	No			"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	Yes, insufficient	All available		Yes, sufficient	Daily	water trucking		Yes		Waste is buried or burned Waste is left in the street\public area		other (specify)	Нет водоснабжения и кан	Donetska	Bakhmutskyi	Kodema	Yes	48.474923155125055	38.08013592920983		3724735
