id,KOATUU,Name,IDPs
1,0500000000,Vinnytska," 14,283 "
2,0700000000,Volynska," 4,729 "
3,1200000000,Dnipropetrovska," 77,156 "
4,1400000000,Donetska," 566,779 "
5,1800000000,Zhytomyrska," 12,013 "
6,2100000000,Zakarpatska," 3,508 "
7,2300000000,Zaporizka," 95,734 "
8,2600000000,Ivano-Frankivska," 4,760 "
9,3200000000,Kyivska," 56,743 "
10,3500000000,Kirovohradska," 14,892 "
11,4400000000,Luhanska," 293,416 "
12,4600000000,Lvivska," 12,114 "
13,4800000000,Mykolaivska," 8,544 "
14,5100000000,Odeska," 42,075 "
15,5300000000,Poltavska," 29,895 "
16,5600000000,Rivnenska," 3,244 "
17,5900000000,Sumska," 16,263 "
18,6100000000,Ternopilska," 2,506 "
19,6300000000,Kharkivska," 193,429 "
20,6500000000,Khersonska," 16,565 "
21,6800000000,Khmelnytska," 6,891 "
22,7100000000,Cherkaska," 13,862 "
23,7300000000,Chernivetska," 3,425 "
24,7400000000,Chernihivska," 9,593 "
25,8000000000,Kyiv," 155,787 "
